"CEP Lot Details for  ...752 as of 08:31 PM ET, 06/06/2025","","","","","","","",""
"","","","","","","","",""
"Open Date","Quantity","Price","Cost/Share","Market Value","Cost Basis","Gain/Loss ($)","Gain/Loss (%)","Holding Period"
"05/02/2025","55","$40.01","$55.26","$2200.55","$3039.3","-$838.75","-27.6%","Short Term"
"05/01/2025","92","$40.01","$53.490760869565","$3680.92","$4921.15","-$1240.23","-25.2%","Short Term"
"04/29/2025","11","$40.01","$31.87","$440.11","$350.57","$89.54","25.54%","Short Term"
"04/25/2025","9","$40.01","$31.98","$360.09","$287.82","$72.27","25.11%","Short Term"
"04/24/2025","40","$40.01","$24.68","$1600.4","$987.2","$613.2","62.12%","Short Term"
"04/24/2025","1","$40.01","$24.81","$40.01","$24.81","$15.2","61.27%","Short Term"
"Total","208","--","--","$8322.08","$9610.85","-$1288.77","-13.41%","--"
